-1.007  1.318  1.000  1.361 -0.340 
 0.125  0.064  1.000  1.252 -0.298 
 0.346  1.416  1.000  0.311 -0.276 
 1.284 -1.058  1.000  1.442  0.023 
 0.249  0.175  1.000  0.377  0.742 
 0.300 -0.665  1.000  0.449  0.022 
-1.597  2.427  1.000  0.364  1.604 
-1.121 -1.339  1.000  0.030  0.083 
 0.925  0.702  1.000  0.274  0.151 
 0.380 -0.301  1.000  1.249  0.029 
-0.683  0.011  1.000  1.185  0.566 
-1.593 -0.481  1.000  0.188 -0.804 
-0.612  0.179  1.000  0.041  0.162 
-1.004  0.253  1.000 -0.861  0.306 
-0.919 -0.637  1.000 -0.825  0.386 
 0.240 -0.033  1.000  0.086  0.166 
-0.896  0.289  1.000 -0.705  2.322 
-0.153  0.688  1.000 -0.230  0.930 
-0.426  0.801  1.000 -0.341 -1.040 
-0.041 -0.049  1.000 -1.995  0.199 
-1.085 -0.245  1.000 -1.251  0.824 
-0.335  0.032  1.000  0.003  0.517 
-0.266 -0.048  1.000 -0.560 -0.214 
-0.521  0.443  1.000 -0.400  0.158 
 0.643 -0.474  1.000 -0.932 -0.352 
 0.806  2.203  1.000  0.000  0.661 
-0.065 -0.381  1.000  0.866 -0.891 
 0.394  0.310  1.000  1.173  0.396 
-1.243  1.264  1.000  0.409  0.511 
-0.129  0.266  1.000 -0.455  1.581 
 0.543 -0.999  1.000  1.103  1.407 
-1.226  0.423  1.000  0.183  0.401 
 0.355 -0.783  1.000 -0.622 -1.149 
 0.269  0.707  1.000 -0.939 -0.713 
-1.066 -0.586  1.000 -0.644  1.463 
 0.903 -0.572  1.000 -1.051 -0.533 
 0.399  1.128  1.000  1.845 -0.121 
 1.732 -1.480  1.000  0.184 -0.054 
-1.110  0.632  1.000 -0.267 -2.412 
 0.505 -0.239  1.000 -0.127 -0.804 
-1.188  1.184  1.000 -0.136  1.193 
 0.103  0.922  1.000 -1.043  0.101 
 0.211 -0.568  1.000  2.247  1.154 
 0.698  2.059  1.000 -0.465  1.119 
 0.517  1.139  1.000 -1.424 -0.959 
 0.925 -1.000  1.000  0.008  1.633 
 0.499 -0.972  1.000  0.272  0.855 
-0.096 -0.436  1.000  0.444  0.929 
 1.018 -0.525  1.000  0.830  0.661 
-1.004  0.596  1.000  0.795  0.693 
 1.211 -0.029  1.000 -1.780 -0.182 
-0.038  0.978  1.000 -0.846  0.122 
 0.072 -0.032  1.000 -0.591 -0.439 
 2.873  0.463  1.000 -0.218  0.480 
 1.961  0.576  1.000 -1.248 -0.684 
-0.311  2.590  1.000  1.220  2.049 
 0.793 -0.101  1.000 -0.423 -0.214 
 1.227  0.866  1.000 -0.059  0.745 
 0.341  0.616  1.000 -0.133 -1.560 
 0.407  1.439  1.000  0.142  0.243 
 1.231  0.823  1.000  1.327  0.884 
 0.930  0.800  1.000  1.878  0.388 
 1.487  0.828  1.000 -0.780  0.982 
 2.101  1.984  1.000  1.043  1.005 
 0.392  0.126  1.000  0.799  0.010 
 1.406  0.021  1.000 -0.763  1.436 
-0.320 -0.690  1.000 -1.975  0.777 
 1.194  1.062  1.000 -0.982 -0.506 
 0.872  2.454  1.000 -0.536 -2.040 
 0.992  1.376  1.000  0.578  0.657 
 0.913  1.729  1.000 -0.797 -0.597 
 2.375  2.483  1.000 -0.409 -0.387 
 1.905  0.711  1.000  0.307 -0.984 
 0.459  0.151  1.000 -0.083  0.526 
 0.359  2.017  1.000  0.563 -0.854 
 1.281  1.849  1.000 -2.000  0.155 
 1.787  0.189  1.000 -0.012 -1.479 
 0.984  0.549  1.000  0.028 -0.001 
 1.829  2.077  1.000 -0.477 -0.251 
 2.632  0.524  1.000 -1.725  1.309 
 0.835  0.187  1.000  0.490  0.458 
 1.408  2.593  1.000 -1.048  0.274 
 1.934  0.095  1.000  1.351 -1.520 
-0.793  0.420  1.000  0.927  1.502 
 1.883 -0.819  1.000 -0.970 -1.570 
 1.169  1.785  1.000  0.758 -1.805 
-0.124  0.266  1.000  0.085  1.602 
 0.980  1.478  1.000  1.302  0.104 
-0.319  1.931  1.000 -0.579  0.721 
 0.934  1.035  1.000 -1.974 -1.620 
 2.279  0.112  1.000 -0.364  0.545 
 1.303  0.735  1.000 -0.327  0.204 
 1.446  1.084  1.000  0.894 -2.233 
-0.038 -0.222  1.000  1.693 -1.554 
 0.216  1.284  1.000  0.285  0.216 
 1.155  0.915  1.000 -0.528 -0.424 
 1.080 -0.367  1.000  0.878 -0.623 
 0.292  1.685  1.000 -1.420 -0.760 
 0.676  0.602  1.000 -0.868  0.061 
 0.618  0.886  1.000 -0.515 -1.165
